Vocabulary Size , Context Size , Embedding Mode , Embedding Size , Question Type , Answer Vocabulary Size , Question , (Average) Relative Rank , Answer
500 , 1 , state , 5 , Singular/Plural  , 500 , day:days::year:years  , 0.16600000000000004 , sure
500 , 1 , state , 5 , Singular/Plural  , 500 , man:men::woman:women  , 0.014000000000000012 , sure
500 , 1 , state , 5 , Singular/Plural  , 500 , country:countries::year:years  , 0.30200000000000005 , sure
500 , 1 , state , 5 , Singular/Plural  ,  ,  , 0.1606666666666667,
500 , 1 , state , 5 , Derivation  , 500 , America:American::Europe:European  , 0.016000000000000014 , sure
500 , 1 , state , 5 , Derivation  ,  ,  , 0.016000000000000014,
500 , 1 , state , 5 , Antonymy/Entailment  ,  ,  , -1,
500 , 1 , state , 5 , Distinction/Comparison s ,  ,  , -1,
500 , 1 , state , 5 , Distinction/Comparison  ,  ,  , -1,
500 , 1 , state , 5 , Gender  ,  ,  , -1,
500 , 1 , state , 5 , Conjugation  , 500 , take:taking::go:going  , 0.010000000000000009 , sure
500 , 1 , state , 5 , Conjugation  , 500 , take:took::go:went  , 0.786 , love
500 , 1 , state , 5 , Conjugation  , 500 , take:took::have:had  , 0.04200000000000004 , sure
500 , 1 , state , 5 , Conjugation  , 500 , take:taken::have:had  , 0.0040000000000000036 , sure
500 , 1 , state , 5 , Conjugation  , 500 , go:going::have:having  , 0.0020000000000000018 , sure
500 , 1 , state , 5 , Conjugation  , 500 , have:has::do:does  , 0.03400000000000003 , sure
500 , 1 , state , 5 , Conjugation  , 500 , have:having::do:doing  , 0.028000000000000025 , sure
500 , 1 , state , 5 , Conjugation  , 500 , do:doing::make:making  , 0.0020000000000000018 , sure
500 , 1 , state , 5 , Conjugation  , 500 , do:did::make:made  , 0.01200000000000001 , sure
500 , 1 , state , 5 , Conjugation  , 500 , do:done::make:made  , 0.0040000000000000036 , sure
500 , 1 , state , 5 , Conjugation  ,  ,  , 0.09240000000000001,
500 , 1 , state , 10 , Singular/Plural  , 500 , day:days::year:years  , 0.038000000000000034 , sure
500 , 1 , state , 10 , Singular/Plural  , 500 , man:men::woman:women  , 0.008000000000000007 , sure
500 , 1 , state , 10 , Singular/Plural  , 500 , country:countries::year:years  , 0.28 , sure
500 , 1 , state , 10 , Singular/Plural  ,  ,  , 0.10866666666666669,
500 , 1 , state , 10 , Derivation  , 500 , America:American::Europe:European  , 0.0020000000000000018 , sure
500 , 1 , state , 10 , Derivation  ,  ,  , 0.0020000000000000018,
500 , 1 , state , 10 , Antonymy/Entailment  ,  ,  , -1,
500 , 1 , state , 10 , Distinction/Comparison s ,  ,  , -1,
500 , 1 , state , 10 , Distinction/Comparison  ,  ,  , -1,
500 , 1 , state , 10 , Gender  ,  ,  , -1,
500 , 1 , state , 10 , Conjugation  , 500 , take:taking::go:going  , 0.0020000000000000018 , sure
500 , 1 , state , 10 , Conjugation  , 500 , take:took::go:went  , 0.738 , record
500 , 1 , state , 10 , Conjugation  , 500 , take:took::have:had  , 0.006000000000000005 , sure
500 , 1 , state , 10 , Conjugation  , 500 , take:taken::have:had  , 0.010000000000000009 , sure
500 , 1 , state , 10 , Conjugation  , 500 , go:going::have:having  , 0.0020000000000000018 , sure
500 , 1 , state , 10 , Conjugation  , 500 , have:has::do:does  , 0.02400000000000002 , sure
500 , 1 , state , 10 , Conjugation  , 500 , have:having::do:doing  , 0.0020000000000000018 , sure
500 , 1 , state , 10 , Conjugation  , 500 , do:doing::make:making  , 0.0020000000000000018 , sure
500 , 1 , state , 10 , Conjugation  , 500 , do:did::make:made  , 0.0020000000000000018 , sure
500 , 1 , state , 10 , Conjugation  , 500 , do:done::make:made  , 0.0040000000000000036 , sure
500 , 1 , state , 10 , Conjugation  ,  ,  , 0.0792,
500 , 1 , state , 15 , Singular/Plural  , 500 , day:days::year:years  , 0.01200000000000001 , sure
500 , 1 , state , 15 , Singular/Plural  , 500 , man:men::woman:women  , 0.008000000000000007 , sure
500 , 1 , state , 15 , Singular/Plural  , 500 , country:countries::year:years  , 0.11199999999999999 , sure
500 , 1 , state , 15 , Singular/Plural  ,  ,  , 0.044000000000000004,
500 , 1 , state , 15 , Derivation  , 500 , America:American::Europe:European  , 0.0020000000000000018 , sure
500 , 1 , state , 15 , Derivation  ,  ,  , 0.0020000000000000018,
500 , 1 , state , 15 , Antonymy/Entailment  ,  ,  , -1,
500 , 1 , state , 15 , Distinction/Comparison s ,  ,  , -1,
500 , 1 , state , 15 , Distinction/Comparison  ,  ,  , -1,
500 , 1 , state , 15 , Gender  ,  ,  , -1,
500 , 1 , state , 15 , Conjugation  , 500 , take:taking::go:going  , 0.0020000000000000018 , sure
500 , 1 , state , 15 , Conjugation  , 500 , take:took::go:went  , 0.89 , investigation
500 , 1 , state , 15 , Conjugation  , 500 , take:took::have:had  , 0.006000000000000005 , sure
500 , 1 , state , 15 , Conjugation  , 500 , take:taken::have:had  , 0.0040000000000000036 , sure
500 , 1 , state , 15 , Conjugation  , 500 , go:going::have:having  , 0.0020000000000000018 , sure
500 , 1 , state , 15 , Conjugation  , 500 , have:has::do:does  , 0.01200000000000001 , sure
500 , 1 , state , 15 , Conjugation  , 500 , have:having::do:doing  , 0.0020000000000000018 , sure
500 , 1 , state , 15 , Conjugation  , 500 , do:doing::make:making  , 0.0020000000000000018 , sure
500 , 1 , state , 15 , Conjugation  , 500 , do:did::make:made  , 0.0020000000000000018 , sure
500 , 1 , state , 15 , Conjugation  , 500 , do:done::make:made  , 0.0040000000000000036 , sure
500 , 1 , state , 15 , Conjugation  ,  ,  , 0.0926,
500 , 1 , state , 20 , Singular/Plural  , 500 , day:days::year:years  , 0.008000000000000007 , sure
500 , 1 , state , 20 , Singular/Plural  , 500 , man:men::woman:women  , 0.008000000000000007 , sure
500 , 1 , state , 20 , Singular/Plural  , 500 , country:countries::year:years  , 0.10799999999999998 , sure
500 , 1 , state , 20 , Singular/Plural  ,  ,  , 0.04133333333333333,
500 , 1 , state , 20 , Derivation  , 500 , America:American::Europe:European  , 0.0020000000000000018 , sure
500 , 1 , state , 20 , Derivation  ,  ,  , 0.0020000000000000018,
500 , 1 , state , 20 , Antonymy/Entailment  ,  ,  , -1,
500 , 1 , state , 20 , Distinction/Comparison s ,  ,  , -1,
500 , 1 , state , 20 , Distinction/Comparison  ,  ,  , -1,
500 , 1 , state , 20 , Gender  ,  ,  , -1,
500 , 1 , state , 20 , Conjugation  , 500 , take:taking::go:going  , 0.0020000000000000018 , sure
500 , 1 , state , 20 , Conjugation  , 500 , take:took::go:went  , 0.876 , process
500 , 1 , state , 20 , Conjugation  , 500 , take:took::have:had  , 0.0040000000000000036 , sure
500 , 1 , state , 20 , Conjugation  , 500 , take:taken::have:had  , 0.0040000000000000036 , sure
500 , 1 , state , 20 , Conjugation  , 500 , go:going::have:having  , 0.0020000000000000018 , sure
500 , 1 , state , 20 , Conjugation  , 500 , have:has::do:does  , 0.01200000000000001 , sure
500 , 1 , state , 20 , Conjugation  , 500 , have:having::do:doing  , 0.0020000000000000018 , sure
500 , 1 , state , 20 , Conjugation  , 500 , do:doing::make:making  , 0.0020000000000000018 , sure
500 , 1 , state , 20 , Conjugation  , 500 , do:did::make:made  , 0.0040000000000000036 , sure
500 , 1 , state , 20 , Conjugation  , 500 , do:done::make:made  , 0.0040000000000000036 , sure
500 , 1 , state , 20 , Conjugation  ,  ,  , 0.0912,
500 , 1 , word , 5 , Singular/Plural  , 500 , day:days::year:years  , 0.654 , love
500 , 1 , word , 5 , Singular/Plural  , 500 , man:men::woman:women  , 0.04400000000000004 , sure
500 , 1 , word , 5 , Singular/Plural  , 500 , country:countries::year:years  , 0.538 , sure
500 , 1 , word , 5 , Singular/Plural  ,  ,  , 0.4120000000000001,
500 , 1 , word , 5 , Derivation  , 500 , America:American::Europe:European  , 0.37 , sure
500 , 1 , word , 5 , Derivation  ,  ,  , 0.37,
500 , 1 , word , 5 , Antonymy/Entailment  ,  ,  , -1,
500 , 1 , word , 5 , Distinction/Comparison s ,  ,  , -1,
500 , 1 , word , 5 , Distinction/Comparison  ,  ,  , -1,
500 , 1 , word , 5 , Gender  ,  ,  , -1,
500 , 1 , word , 5 , Conjugation  , 500 , take:taking::go:going  , 0.03600000000000003 , sure
500 , 1 , word , 5 , Conjugation  , 500 , take:took::go:went  , 0.10199999999999998 , sure
500 , 1 , word , 5 , Conjugation  , 500 , take:took::have:had  , 0.052000000000000046 , sure
500 , 1 , word , 5 , Conjugation  , 500 , take:taken::have:had  , 0.10399999999999998 , sure
500 , 1 , word , 5 , Conjugation  , 500 , go:going::have:having  , 0.906 , gallery
500 , 1 , word , 5 , Conjugation  , 500 , have:has::do:does  , 0.16200000000000003 , sure
500 , 1 , word , 5 , Conjugation  , 500 , have:having::do:doing  , 0.914 , due
500 , 1 , word , 5 , Conjugation  , 500 , do:doing::make:making  , 0.030000000000000027 , sure
500 , 1 , word , 5 , Conjugation  , 500 , do:did::make:made  , 0.366 , sure
500 , 1 , word , 5 , Conjugation  , 500 , do:done::make:made  , 0.29200000000000004 , sure
500 , 1 , word , 5 , Conjugation  ,  ,  , 0.29640000000000005,
500 , 1 , word , 10 , Singular/Plural  , 500 , day:days::year:years  , 0.49 , love
500 , 1 , word , 10 , Singular/Plural  , 500 , man:men::woman:women  , 0.008000000000000007 , sure
500 , 1 , word , 10 , Singular/Plural  , 500 , country:countries::year:years  , 0.6779999999999999 , capital
500 , 1 , word , 10 , Singular/Plural  ,  ,  , 0.39199999999999996,
500 , 1 , word , 10 , Derivation  , 500 , America:American::Europe:European  , 0.6679999999999999 , september
500 , 1 , word , 10 , Derivation  ,  ,  , 0.6679999999999999,
500 , 1 , word , 10 , Antonymy/Entailment  ,  ,  , -1,
500 , 1 , word , 10 , Distinction/Comparison s ,  ,  , -1,
500 , 1 , word , 10 , Distinction/Comparison  ,  ,  , -1,
500 , 1 , word , 10 , Gender  ,  ,  , -1,
500 , 1 , word , 10 , Conjugation  , 500 , take:taking::go:going  , 0.018000000000000016 , sure
500 , 1 , word , 10 , Conjugation  , 500 , take:took::go:went  , 0.8200000000000001 , love
500 , 1 , word , 10 , Conjugation  , 500 , take:took::have:had  , 0.6599999999999999 , love
500 , 1 , word , 10 , Conjugation  , 500 , take:taken::have:had  , 0.6639999999999999 , love
500 , 1 , word , 10 , Conjugation  , 500 , go:going::have:having  , 0.43600000000000005 , record
500 , 1 , word , 10 , Conjugation  , 500 , have:has::do:does  , 0.618 , love
500 , 1 , word , 10 , Conjugation  , 500 , have:having::do:doing  , 0.966 , park
500 , 1 , word , 10 , Conjugation  , 500 , do:doing::make:making  , 0.01200000000000001 , sure
500 , 1 , word , 10 , Conjugation  , 500 , do:did::make:made  , 0.04400000000000004 , sure
500 , 1 , word , 10 , Conjugation  , 500 , do:done::make:made  , 0.518 , love
500 , 1 , word , 10 , Conjugation  ,  ,  , 0.4755999999999999,
500 , 1 , word , 15 , Singular/Plural  , 500 , day:days::year:years  , 0.496 , record
500 , 1 , word , 15 , Singular/Plural  , 500 , man:men::woman:women  , 0.0040000000000000036 , sure
500 , 1 , word , 15 , Singular/Plural  , 500 , country:countries::year:years  , 0.45399999999999996 , sure
500 , 1 , word , 15 , Singular/Plural  ,  ,  , 0.318,
500 , 1 , word , 15 , Derivation  , 500 , America:American::Europe:European  , 0.498 , sure
500 , 1 , word , 15 , Derivation  ,  ,  , 0.498,
500 , 1 , word , 15 , Antonymy/Entailment  ,  ,  , -1,
500 , 1 , word , 15 , Distinction/Comparison s ,  ,  , -1,
500 , 1 , word , 15 , Distinction/Comparison  ,  ,  , -1,
500 , 1 , word , 15 , Gender  ,  ,  , -1,
500 , 1 , word , 15 , Conjugation  , 500 , take:taking::go:going  , 0.010000000000000009 , sure
500 , 1 , word , 15 , Conjugation  , 500 , take:took::go:went  , 0.22999999999999998 , sure
500 , 1 , word , 15 , Conjugation  , 500 , take:took::have:had  , 0.13 , record
500 , 1 , word , 15 , Conjugation  , 500 , take:taken::have:had  , 0.18000000000000005 , record
500 , 1 , word , 15 , Conjugation  , 500 , go:going::have:having  , 0.554 , leaders
500 , 1 , word , 15 , Conjugation  , 500 , have:has::do:does  , 0.64 , love
500 , 1 , word , 15 , Conjugation  , 500 , have:having::do:doing  , 0.976 , due
500 , 1 , word , 15 , Conjugation  , 500 , do:doing::make:making  , 0.008000000000000007 , sure
500 , 1 , word , 15 , Conjugation  , 500 , do:did::make:made  , 0.44399999999999995 , sure
500 , 1 , word , 15 , Conjugation  , 500 , do:done::make:made  , 0.40800000000000003 , sure
500 , 1 , word , 15 , Conjugation  ,  ,  , 0.358,
500 , 1 , word , 20 , Singular/Plural  , 500 , day:days::year:years  , 0.642 , love
500 , 1 , word , 20 , Singular/Plural  , 500 , man:men::woman:women  , 0.0040000000000000036 , sure
500 , 1 , word , 20 , Singular/Plural  , 500 , country:countries::year:years  , 0.404 , sure
500 , 1 , word , 20 , Singular/Plural  ,  ,  , 0.35000000000000003,
500 , 1 , word , 20 , Derivation  , 500 , America:American::Europe:European  , 0.512 , sure
500 , 1 , word , 20 , Derivation  ,  ,  , 0.512,
500 , 1 , word , 20 , Antonymy/Entailment  ,  ,  , -1,
500 , 1 , word , 20 , Distinction/Comparison s ,  ,  , -1,
500 , 1 , word , 20 , Distinction/Comparison  ,  ,  , -1,
